Archetype Name,Class Skills,Weapon & Armor,Alchemy,Bomb 1,Bomb 3,Bomb 5,Bomb 7,Bomb 9,Bomb 11,Bomb 13,Bomb 15,Bomb 17,Bomb 19,Brew Potion,Mutagen,Throw Anything,Discovery 2,Discovery 4,Discovery 6,Discovery 8,Discovery 10,Discovery 12,Discovery 14,Discovery 16,Discovery 18,Poison Resistance +2,Poison Resistance +4,Poison Resistance +6,Poison Use,Swift Alchemy,Swift Poisoning,Poison Immunity,Persistent Mutagen,Instant Alchemy,Grand Discovery
Aerochemist,,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,X,X,X,X,,X,,
Alchemical Sapper,C,,,C,C,C,C,C,C,C,C,C,C,,X,,,,X,,,,,,,X,X,X,,X,,X,,,
Alchemical Trapper (Kobold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquachymist,C,,C,C,C,C,C,C,C,C,C,C,C,,,,X,,,,,,,,,,,,,,,,,,
Beastmorph,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,X,,
Blazing Torchbearer,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,X,,,,,,
Blightseeker,,,,C,C,C,C,C,C,C,C,C,C,,,,,,X,,,X,,,X,,,,,,,,X,,
Blood Alchemist,,,,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,
Bogborn Alchemist (Grippli),C,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Bramble Brewer (Half-elf),,,,,,,,,,,,,,,C,,X,,,,,,,,,,,,,,,,,,
Chirurgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,X,,,
Clone Master,,,,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,X,,,,X,,,
Concocter,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,X,,,,
Construct Rider,C,,,,,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,
Crimson Chymist,,,,,,,,,,,,,,,C,,C,C,C,C,C,C,C,C,C,,,,,,,,,,
Cruorchymist,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Crypt Breaker,,,,C,C,C,C,C,C,C,C,C,C,X,X,,,,,,,,,,,,,,,,,,X,,
Deep Bomber (Svirfneblin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,X,
Dimensional Excavator,,,,,,,,,,,,,,,,,C,X,C,C,C,C,C,C,C,,,,,,,,,,
Dragonblood Chymist,,,,,,,,,,,,,,,C,X,X,,,,,X,,X,,X,X,X,X,,X,,,,
Ectochymist,C,,,X,X,X,X,X,X,X,X,X,X,,,,,,,X,,,,,,X,X,X,X,,X,X,,,
Ectoplasm Master,,,C,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Eldritch Poisoner,,,,X,X,X,X,X,X,X,X,X,X,,X,X,,X,,,,,,,,,,,,,,,X,,
