Archetype Name,Class Skills,Weapon & Armor,Spells,Cantrips,Spellbooks,Arcane Pool,Spell Combat,Spellstrike,Magus Arcana 3,Magus Arcana 6,Magus Arcana 9,Magus Arcana 12,Magus Arcana 15,Magus Arcana 18,Spell Recall,Bonus Feat 5,Bonus Feat 11,Bonus Feat 17,Knowledge Pool,Medium Armor,Improved Spell Combat,Fighter Training,Improved Spell Recall,Heavy Armor,Greater Spell Combat,Counterstrike,Greater Spell Access,True Magus
Armored Battlemage,,,,,,C,X,,X,,,,,X,,,,,,C,,,,C,X,,,
Beastblade,,,,,,,,,X,,,,,,X,,,,X,,,,X,,,,,
Bladebound,,,,,,C,,,X,,,,,,,,,,,,,,,,,,,
Bladed Scarf Dancer,,X,C,,,,,,(X),(X),(X),(X),(X),(X),,,,,,,,,,,,,,
Card Caster,,,,,,C,,C,X,,,,,,,,,,,,,,,,,,,
Deep Marshal,,C,C,,,C,C,C,X,,,,,,,,,,,C,,,,C,,,,
Eldritch Archer,C,,,,,C,C,C,,,,,,,,,,,,,,,,,,C,,
Eldritch Scion,,,C,,,C,C,,,,,,,,X,,,,X,,C,,,,C,,,
Elemental Knight (Suli),,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Esoteric,,C,C,,,C,,C,,,,,,,X,X,X,X,,X,,,X,X,,,,
Fiend Flayer (Tiefling),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golemfist,,,C,C,,C,,C,X,,,,,,,,,,,,,,,,,,,
Greensting Slayer,,,,,,C,,,,(X),(X),(X),(X),(X),,,,,,X,,,,X,,,,
Hexbreaker,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,
Hexcrafter,,,,,,,,,(X),(X),(X),(X),(X),(X),X,,,,,,,,,,,,,
Iron-Ring Striker,,,C,,,C,,C,,,,,,,,C,,,X,X,,,,X,,X,,
Kensai,,X,C,,,,,,,,X,,,,X,,,,X,X,,C,X,X,,,X,X
Magic Warrior (Adventurer's Guide),C,,,,,,,,X,,,,,,,,,,,,C,,,,X,,X,
Magic Warrior (Inner Sea Intrigue),C,,,,,,,,X,,,,,,,,,,,,X,,,,X,,X,
Mindblade,,,X,,,X,,,,,,,,,X,,,,X,X,X,,X,X,X,,X,
Myrmidarch,,,C,,,,,,,X,,X,,X,X,,,,X,,X,X,X,,X,,,X
Nature-Bonded Magus,,,,,,X,,,,,,,,,X,,,,X,,,,X,,,,,
Puppetmaster,C,,,,,C,C,X,,,,,,,,,,,X,X,C,X,,X,C,X,X,X
Sigilus,,,,,,,,X,,,,,,,,,,,,X,,,,X,,,,
Skirnir,,,C,,,C,X,C,,,,,,,X,,,,X,,,,X,,X,X,X,
Sorrowblade,,,,,,,,,X,,,C,,,,,,,,,,,,,,,,
Soul Forger,,,C,,,,C,C,,,,,,,X,,,,X,,,,X,,,X,X,
Spell Dancer (Elf),C,,,,,C,,,,,,,,,,X,,,,X,,,,X,,,,
Spell Trapper,C,,,,,,,,C,C,C,C,C,C,X,,,,,,,X,,,,,,
Spellblade,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Spire Defender,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,
Staff Magus,,X,,,,,,,,,,,,,,,,,,X,,X,,X,,,,
