Archetype Name,Class Skills,Weapon & Armor,AC Bonus,Bonus Feat 1,Bonus Feat 2,Bonus Feat 6,Bonus Feat 10,Bonus Feat 14,Bonus Feat 18,Flurry of Blows,Stunning Fist,Unarmed Strike,Evasion,Fast Movement,Ki Pool,Ki Power,Still Mind,Purity of Body,Style Strike,Improved Evasion,Timeless Body,Tongue of the Sun and Moon,Flawless Mind,Perfect Self
Black Asp,,,,,,,,,,,X,,,,,C,X,,,,,,,
Brazen Disciple,C,,,X,C,X,C,C,C,,,,,,,X,X,,,,,,,X
Disciple of Wholeness,,,,,,,,,,,,,,,C,X,,X,,,,,,
Elemental Monk,,,,X,X,X,X,X,X,,X,,X,,C,X,,X,,,,,,
Invested Regent,,,,X,C,C,C,C,C,,,,,,,,,,,,,,,
Lifting Hand,,,,C,C,C,X,C,C,,X,,,,,X,,,,,,,,
Perfect Scholar,,,,,,,,,,,,,,,,C,C,,,,,C,,C
Sage Counselor,C,,,X,X,X,X,,,C,,,,,C,C,,,,,,,,
Scaled Fist,,,,C,,C,C,,,,,,,,,C,X,,,,,,,
Softstrike Monk,,C,,,,X,X,,,,,C,,,,C,,,,,,,,
Windstep Master,,,,,,,,,,,X,,,,C,C,,,,,,,,
