Archetype Name,Class Skills,Spells,Cantrips,Eidolon,Life Link,Summon Monster I,Summon Monster II,Summon Monster III,Summon Monster IV,Summon Monster V,Summon Monster VI,Summon Monster VII,Summon Monster VIII,Summon Monster IX,Summon Monster Gate,Bond Senses,Shield Ally,Maker's Call,Transposition,Aspect,Greater Shield Ally,Life Bond,Merge Forms,Greater Aspect,Twin Eidolon
Blood God Disciple (Half-orc),,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Blood Summoner,,,,,,,,,,,,,,,,,X,,X,,X,,X,,
Broodmaster,,,,X,X,,,,,,,,,,,X,X,X,X,,X,X,X,,
Construct Caller (Unchained),,,,C,,X,,,,,,,,,,,,,,,,,,,
Counter-Summoner,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,X,,,,X,
Devil Binder (Unchained),,,,C,,X,,,,,,,,,,X,X,X,X,,X,,X,,X
Devil Impostor (Unchained),C,,,C,,,,,,,,,,,,X,X,,X,,X,,,,
Evolutionist,,,,,,,,,,,,,,,,,,X,X,,X,,,,
Fey Caller (Unchained),C,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,
First Worlder,,,,C,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,
God Caller,C,,,,C,,,,,,,,,,,,,,X,X,,,,X,X
Leshy Caller,,,,C,,C,C,C,C,C,C,C,C,C,,,,,,,,,,,
Master Summoner,,,,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Morphic Savant,,C,,C,,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,
Naturalist,,,,,,X,X,X,X,X,X,X,X,X,,,X,,,X,X,X,,X,
Pyroclast,,X,,,,,,,,,,,,,,,,X,X,,,,,,
Shadow Caller (Fetchling),C,,,C,,C,C,C,C,C,C,C,C,C,,,,,,,,,,,
Shaitan Binder (Oread),,,,C,,,,,,,,,,,,,X,,,X,X,,,X,X
Soulbound Summoner (Unchained),,,,C,C,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,
Spirit Summoner,,,,X,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,,X,,
Storm Caller,,,,C,,,C,C,C,C,C,C,C,C,,,X,X,X,,X,,,,
Story Summoner,,,,C,,,,,,,,,,,,X,,,X,,,,,,
Synthesist,,,,X,X,,,,,,,,,,,X,X,X,X,,X,X,X,,
Twinned Summoner,,,,,,,,,,,,,,,,,X,X,X,,X,,X,,
Unwavering Conduit,,C,,C,,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,
Wild Caller,,,,C,,C,C,C,C,C,C,C,C,C,C,,,,,X,,,,C,
Wild Caller (Half-elf),,C,,C,,C,C,C,C,C,C,C,C,C,X,,,,,,,,,,
