Archetype Name,Class Skills,Weapon & Armor,Spells,Cantrips,Spellbooks,Arcane Reservoir,Consume Spells,Arcanist Exploit 1,Arcanist Exploit 3,Arcanist Exploit 5,Arcanist Exploit 7,Arcanist Exploit 9,Arcanist Exploit 11,Arcanist Exploit 13,Arcanist Exploit 15,Arcanist Exploit 17,Arcanist Exploit 19,Greater Exploits,Magical Supremacy
Aeromancer,,,,,,,,X,,X,,,X,,,,,,
Arcane Tinkerer,,,,,,,,X,,X,,,X,,,,,,
Blade Adept,,,,,,,,X,X,,,X,,,,,,,
Blood Arcanist,,,,,,,,X,X,,,X,,,X,,,,X
Brown-Fur Transmuter,,,,,,,,,X,,,X,,,,,,,X
Collegiate Initiate,,,,,,,,X,,X,,X,,,,X,,,
Eldritch Font,,,C,C,,,,,X,,X,,,X,,,,,X
Elemental Master,,,,,,,,X,X,,,X,X,,X,,,,
Occultist,,,C,,,,,X,,,X,,,,,,,,X
School Savant,,,,,,,,X,X,,X,,,,,,,,
Spell Specialist,,,,,,,,X,,,X,,,X,,,X,,
Tarot Student,,,,,,,X,X,,,,X,,,,,,,
Twilight Sage,,,,,,,X,X,,,,,X,,,,,,X
Unlettered Arcanist,,,C,,X,,,,,,,,,,,,,,
White Mage,,,,,,,,X,,,,X,,,,,,C,
