Archetype Name,Class Skills,Weapon & Armor,Fast Movement,Bloodrage,Bloodline Power 1,Bloodline Power 4,Bloodline Power 8,Bloodline Power 12,Bloodline Power 16,Bloodline Power 20,Bloodline Bonus Feat 6,Bloodline Bonus Feat 9,Bloodline Bonus Feat 12,Bloodline Bonus Feat 15,Bloodline Bonus Feat 18,Bloodline Bonus Spell,Uncanny Dodge,Blood Sanctuary,Blood Casting,Eschew Materials,Spells,Improved Uncanny Dodge,Damage Reduction,Greater Bloodrage,Indomitable Will,Tireless Bloodrage,Mighty Bloodrage
Ancestral Harbinger,,,,,,,,,,,X,,X,,X,,X,,,,,X,,,,,
Blood Conduit,,,X,,,,,,,,C,C,C,C,C,,X,,,,,X,,,X,,
Bloodrider,,,X,,,,,,,,,X,,,,,X,,,,,X,,,,,
Bloody-Knuckled Rowdy,,,X,,,,,,,,,,,,,,X,,,,C,X,X,,,,
Crossblooded Rager,,,,,(X),(X),(X),(X),(X),(X),C,C,C,C,C,(X),,,,,,,,,,,
Enlightened Bloodrager,,,,,X,C,C,C,C,C,,,,,,X,,,,,C,,X,,,,
Greenrager,,,,,,,,,,,X,X,,,,,,X,,,,,,,,,
Hag-Riven,,C,X,,,,,,,,,,,,,,X,,,,,X,X,,,,
Id Rager,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,C,,,,,,
Metamagic Rager,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Primalist,,,,,,C,C,C,C,C,,,,,,,,,,,,,,,,,
Prowler at World's End,,,,,X,C,X,C,X,C,,X,X,X,,,,,,,,,,C,,,C
Rageshaper,,,,,,,,,,,,,,,,,,X,,,,X,,,,,
Spelleater,,,,,,,,,,,,,,,,,X,,,,,X,X,,,,
Steelblood,,C,X,,,,,,,,,,,,,,X,,,,,X,X,,,,
Symbol Striker,C,,X,,,,,,,,X,X,X,,X,,,,,,,,,,,,
Untouchable Rager,,,,,,,,,,,,,,,,X,,,X,X,X,,,,,,
Urban Bloodrager,C,C,,C,,,,,,,,,,,,,,X,,,,,X,,,,
