Archetype Name,Base Attack Bonus,Class Skills,Skill Ranks Per Level,Weapon & Armor,Spells,Spontaneous Casting,Orisons,Bonus Languages,Nature Bond,Nature Sense,Wild Empathy,Woodland Stride,Trackless Step,Resist Nature’s Lure,Wild Shape 4,Wild Shape 6,Wild Shape 8,Wild Shape 10,Wild Shape 12,Wild Shape 14,Wild Shape 16,Wild Shape 18,Wild Shape 20,Venom Immunity,A Thousand Faces,Timeless Body
Aerie Protector,,,,C,,,,,C,,,X,,X,,,,,,,,,,X,,
Ancient Guardian,,,,C,,X,,,C,,X,X,X,X,,,,,,,,,,,X,
Animal and Terrain Domains,,,,,,,,,X,,,,,,,,,,,,,,,,,
Ape Shaman,,,,,,,,,C,,C,,,,,C,C,C,C,C,C,C,C,X,X,
Aquatic Druid,,,,,,,,,,,C,X,X,X,X,C,C,C,C,C,C,C,C,X,X,
Arctic Druid,,,,,,,,,,,,X,X,X,X,C,C,C,C,C,C,C,C,X,X,
Bat Shaman,,,,,,,,,C,,C,,,,,C,C,C,C,C,C,C,C,X,X,
Bear Shaman,,,,,,,,,C,,C,,,,,C,C,C,C,C,C,C,C,X,X,
Blight Druid,,,,,,,,,C,,X,,X,X,,,,,,,,,,X,X,
Boar Shaman,,,,,,,,,C,,C,,,,,C,C,C,C,C,C,C,C,X,X,
Cave Druid,,,,,,,,,C,X,C,X,X,X,X,C,C,C,C,C,C,C,C,,,
Death Druid,,,,,,,,,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,,
Defender of the True World,,,,,,C,,,,,X,,X,X,,,,,,,,,,X,X,
Desert Druid,,,,,,,,,,,,X,X,X,X,C,C,C,C,C,C,C,C,X,X,
Devolutionist,,,,,,,,,C,,,,,X,,,,,,,,,,X,,
Dinosaur Druid,,,,,,C,,,C,,,,,X,C,C,C,C,C,C,C,C,C,,,
Draconic Druid,,,,,,,,,X,X,X,X,,X,C,C,C,C,C,C,C,C,C,X,X,X
Dragon Shaman,,,,,,,,,C,,C,,,,,C,X,C,C,C,C,C,C,X,X,
Drovier,,,,,,,,,C,,,,,,X,X,X,X,X,X,X,X,X,,,
Eagle Shaman,,,,,,,,,C,,C,,,,,C,C,C,C,C,C,C,C,X,X,
Elemental Ally,,,,,,,,,X,,X,,,X,X,X,X,X,X,X,X,X,X,,,
Feral Child (Human),,C,,C,,,,,C,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Feral Shifter,,,,,,,,,X,,,,,,,,,,,,,,,X,X,X
Feyspeaker,C,C,C,C,C,,,,,X,,,,,C,C,C,C,C,C,C,C,C,,,
Fungal Pilgrim,,,,,,,,,C,,,,,,X,X,X,X,X,X,X,X,X,,,X
Goliath Druid,,C,,,,,,,C,X,C,,,X,,C,,,C,C,,,,X,X,
Green Faith Initiate,,,,,,,,,,,,,X,,,X,,X,,,,,,X,X,
Green Scourge,,,,,,C,,,,X,,,X,X,,,,,,,,,,,,
Halcyon Druid,,C,,,,X,,,X,X,X,,,X,X,X,X,X,X,X,X,X,X,,X,
Inquisitions,,,,,,,,,X,,,,,,,,,,,,,,,,,
Jungle Druid,,,,,,,,,,,,X,X,X,X,C,C,C,C,C,C,C,C,,X,
Kraken Caller,,,,,,,,C,,,,X,X,X,C,C,C,C,C,C,C,C,C,,X,
Leshy Warden,,,,,,,,,X,,X,,,,X,C,C,C,,,,,,,X,
Life Channeler,,,,,,,,,C,,,,,,X,X,X,X,X,X,X,X,X,X,,
Lion Shaman,,,,,,,,,C,,C,,,,,C,C,C,C,C,C,C,C,X,X,
Mantella (Grippli),,,,,,X,,,,,,,,,C,C,C,C,C,C,C,C,C,C,,
Menhir Savant,,,,,,,,,,X,X,X,X,,,,,,,,,,,,X,
Mooncaller,,,,,,,,,,,,X,,X,,,,,,,,,,X,X,
Mountain Druid,,,,,,,,,,,,X,X,X,X,C,C,C,C,C,C,C,C,X,X,
Naga Aspirant (Nagaji),,,,,,X,,,,,,,,X,,C,C,C,C,C,C,C,X,X,X,X
Nature Fang,,,,,,,,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,
Pack Lord,,,,,,,,,X,,,,,,,X,,,,,,,,,,
Plains Druid,,,,,,,,,,,,X,X,X,X,C,C,C,C,C,C,C,C,X,X,
Planar Extremist,,,,,C,C,,,X,,,,,X,X,X,X,X,X,X,X,X,X,,,
Progenitor,,,,,,C,,,X,,,,,,C,C,C,C,C,C,C,C,C,,,
Reincarnated Druid,,,,,,,,,,,,X,,X,X,C,C,C,C,C,C,C,C,X,,X
Restorer,,,,,,X,,,,X,,,,X,,,,,,,,,,,X,
River Druid,,,,,,,,,,X,,,X,X,C,C,C,C,C,C,C,C,C,,,X
Road Keeper,,,,,,X,,,C,,X,X,,X,X,X,X,X,X,X,X,X,X,,,
Rot Warden,,,,,,C,,,C,,X,,X,X,C,C,C,C,C,C,C,C,C,X,,
Saurian Shaman,,,,,,,,,C,,C,,,,,C,C,C,C,C,C,C,C,X,X,
Season Keeper (Triaxian),,,,,,,,,,,,,,,,,,,,,,,,,,
Season Sage,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,
Serpent Shaman,,,,,,,,,C,,C,,,,,C,C,C,C,C,C,C,C,X,X,
Shark Shaman,,,,,,,,,C,,C,,,,,C,C,C,C,C,C,C,C,X,X,
Skinshaper,,C,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,X,
Sky Druid (Sylph),,,,C,,,,,C,,,X,,X,X,C,C,C,C,C,C,C,C,X,X,
Storm Druid,,,,,,X,,,C,,,X,X,X,,,,,,,,,,X,X,
Subdomains,,,,,,,,,X,,,,,,,,,,,,,,,,,
Sunrider,,C,,C,,,,,C,,,X,X,X,X,X,X,X,X,X,X,X,X,,,
Supernaturalist,,C,,,,,,,(X),X,(X),,X,X,X,X,X,X,X,X,X,X,X,,,
Survivor,,,,C,C,,,, ,,,,,X,X,X,X,X,X,X,X,X,X,X,,
Survivor Druid,,C,,C,C,C,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,
Swamp Druid,,,,,,,,,,,,X,X,X,X,C,C,C,C,C,C,C,C,,X,
Swarm Monger,,,,,,,,,X,X,,X,,X,,,,,X,,,,,,,
Tempest Druid,,,,C,,X,,,C,X,,,X,,,,,,,,,,,X,,
Tempest Tamer,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,
Toxicologist,,,,,C,X,,,,,X,X,X,X,C,C,C,C,C,C,C,C,C,,,
