Archetype Name,Class Skills,Orisons,Spirit,Spirit Animal,Spirit Magic,Hex 2,Hex 4,Hex 8,Hex 10,Hex 12,Hex 16,Hex 18,Hex 20,Wandering Spirit,Wandering Hex 6,Wandering Hex 14,Manifestation
Animist,,,,,C,X,,X,X,X,,X,,,,,X
Crystal Tender,,,,C,,,,X,,,,,,C,,,C
Deep Shaman,C,,C,C,,C,C,C,C,C,C,C,C,,,,
Draconic Shaman,,,X,X,C,,X,,X,,,,,,,,
Grasping Vine,,,,C,X,X,,X,,,,,,,,,
Name Keeper,C,,,X,,,,,,,,,,X,X,X,
Name-Keeper,C,,,X,X,,,,,,,,,X,X,X,
Overseer,,,,C,C,,,,,,,,,,,,
Possessed Shaman,,,,,X,X,,,,,,,,,X,,
Primal Warden,,,,C,C,C,X,X,C,X,C,C,C,,,,
Serendipity Shaman,,,C,,,,,,,,,,,,,,
Speaker For The Past,C,,,X,,,,,,,,,,X,X,X,
Spirit Warden,C,,,,X,X,,,X,,,,,,,,
True Silvered Throne,C,,,X,,,,,X,,,,,X,X,X,
Unsworn Shaman,,,X,C,C,X,X,X,X,X,X,X,X,C,X,X,
Visionary,,,,,X,,,,,,,,,X,X,,
Witch Doctor,,,,,,,X,X,X,X,,,,,,,
